Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Яценко,Франц,Артемович,Чоловіча,26-10-1974,Адвокат,місто Устилуг,"набережна 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 775 кв. 631, Київ, 79749",+380 44 457 24 72,rustenko@example.com
Піддубний,Амвросій,Сергійович,Чоловіча,23-12-2003,Модельєр,хутір Рава-Руська,"проспект Василя Симоненка, буд. 390 кв. 256, Заводське, 08197",+380 11 720 90 57,tymofii51@example.org
Бараник,Демид,Михайлович,Чоловіча,03-09-1978,Прокурор,село Лиман,"сквер Дмитра Годзенка, буд. 558 кв. 4, Миколаїв, 73981",601-95-89,lvernydub@example.org
Устенко,Антон,Віталійович,Чоловіча,22-11-1988,Палеонтолог,хутір Харків,"провулок Бродська, буд. 66 кв. 101, Овруч, 52441",008 965 40 40,klyment86@example.com
Бевзенко,Тетяна,Артемівна,Жіноча,27-11-1954,Бізнесмен,селище Скалат,"проспект Лінія 24-та, буд. 687 кв. 205, Кіцмань, 89655",242-00-59,nazar51@example.com
Дзюба,Федір,Михайлович,Чоловіча,01-01-1988,Графік,місто Ічня,"парк Карпенка-Карого, буд. 48 кв. 65, Покров, 54241",021 946 95 96,orkhyp30@example.org
Архимович,Руслан,Богданович,Чоловіча,01-05-1971,Дерун,село Старий Самбір,"проспект Українських Героїв, буд. 8 кв. 1, Лиман, 19088",197 13 94,yvysochan@example.org
Дерегус,Арсен,Назарович,Чоловіча,21-01-1961,Маркетолог,селище Підгайці,"провулок Танкістів, буд. 7 кв. 852, Новодружеськ, 21330",649 21 52,olehzinchuk@example.net
Зайченко,Андрій,Григорович,Чоловіча,23-12-2007,Випробувач,село Красноперекопськ,"площа Павла Клепацького, буд. 079 кв. 521, Калинівка, 12727",+380 60 981-36-94,okhrymovychanastasiia@example.org
Чорновіл,Ольга,Ярославівна,Жіноча,09-05-1966,Музикознавець,селище Торецьк,"парк Парковий, буд. 41 кв. 383, Бар, 72210",012 838 88 11,rvyshyvana@example.org
Акуленко,Теодор,Максимович,Чоловіча,06-08-1999,Реабілітолог,хутір Голубівка,"сквер Преображенська, буд. 8 кв. 822, Прилуки, 56317",640-33-72,anehoda@example.net
Валенко,Варфоломій,Веніамінович,Чоловіча,23-02-1981,Мірошник,місто Кальміуське,"узвіз Івана Франка, буд. 623, Рені, 96739",051 217 27 09,iosyptkachenko@example.net
Василевич,Данна,Михайлівна,Жіноча,24-01-1988,Драматург,селище Бурштин,"шосе Лінія 31-ша, буд. 1, Дніпро, 33149",787 94 35,ivanchenkoolha@example.net
Батуринець,Вадим,Костянтинович,Чоловіча,12-07-1994,Скульптор,селище Вилкове,"вулиця Сільськогосподарський, буд. 03, Перещепине, 12063",073 730-83-04,vzhaivoron@example.com
Журавель,Гаврило,Рустамович,Чоловіча,13-03-1942,Епідеміолог,хутір Валки,"площа Батуринська, буд. 46 кв. 250, Ізмаїл, 19008",+380 (44) 908-78-75,bhydenkooles@example.org
Лисенко,Алла,Святославівна,Жіноча,03-07-1943,Професор,селище Нове Давидково,"парк Басейний 6-й, буд. 5, Ясинувата, 01755",021 179 83 48,haidaburaprokhir@example.com
Акименко,Ярослава,Іванівна,Жіноча,09-03-1975,Фрілансер,село Попасна,"провулок Львівський, буд. 532, Новоград-Волинський, 92867",+380 80 628 57 29,larysalytvynenko@example.org
Непорожній,Зиновій,Федорович,Чоловіча,14-02-1965,Детектив,хутір Жданівка,"шосе Людмили Гінзбург, буд. 395, Соледар, 15064",+380 31 614-68-10,shyianlukian@example.com
Затула,Аарон,Павлович,Чоловіча,08-08-1981,Стропальник,селище Зеленодольськ,"сквер Лесі Українки, буд. 40, Сокиряни, 46345",+380 84 606 85 19,volodymyr27@example.com
Ірванець,Михайлина,Рустамівна,Жіноча,22-09-1972,Швачка,хутір Подільськ,"набережна Педагогічна, буд. 6 кв. 6, Охтирка, 49601",+380 57 102 69 58,lemeshkohavrylo@example.net
Девдюк,Сергій,Валентинович,Чоловіча,30-12-1954,Режисер,хутір Залізне,"шосе Олексія Косяченко, буд. 097 кв. 50, Українка, 21926",065 663-02-81,petrotovstukha@example.net
Тарасенко,Златослава,Антонівна,Жіноча,09-09-2006,Кіноактор,місто Енергодар,"набережна Ризька, буд. 342 кв. 89, Тульчин, 77141",091 178 49 37,oleh22@example.net
Воблий,Євген,Ігоревич,Чоловіча,05-02-1980,Локсмайстер,хутір Мирноград,"шосе Чехівського, буд. 473 кв. 60, Федорівка, 64304",831 71 78,rozaliiashovkoplias@example.net
Івасюк,Максим,Віталійович,Чоловіча,27-05-1946,Хореограф,село Яготин,"набережна Лінія 45-та, буд. 80, Дубровиця, 26940",125 91 86,lysenkoalbert@example.com
Рябошапка,Кирило,Федорович,Чоловіча,01-04-1985,Маркетолог,хутір Рава-Руська,"сквер Лазурний 3-й, буд. 35, Новоукраїнка, 11631",+380 03 620 72 72,zabashtaorkhyp@example.net
Царенко,Петро,Григорович,Чоловіча,17-10-1974,Гірник,селище Жидачів,"вулиця Танкістів, буд. 669 кв. 12, Новомиргород, 38033",064 328-34-87,korzhomelian@example.org
Токар,Богдан,Сергійович,Чоловіча,01-02-2003,Астронавт,селище Верхньодніпровськ,"парк Хвиляста, буд. 147 кв. 678, Кременчук, 30244",+380 22 478-19-18,vasylynaderevianko@example.net
Стець,Олесь,Святославович,Чоловіча,19-11-1992,Державний службовець,село Тисмениця,"проспект Шахтинський, буд. 6, Петрово-Красносілля, 23333",005 303 75 83,mykyta29@example.net
Гаврилів,Тимофій,Владиславович,Чоловіча,10-09-1941,Гірничий інженер,селище Перемишляни,"шосе Лінія 53-тя, буд. 353, Ромни, 14810",042-70-08,vashchenkoviktoriia@example.org
Худобʼяк,Одарка,Костянтинівна,Жіноча,15-11-1948,Конструктор,село Корець,"проспект Гвоздичний, буд. 21 кв. 0, Балаклія, 38662",+380 26 655 47 77,hrytsenkoirena@example.net
Охримович,Яків,Ярославович,Чоловіча,04-01-2006,Ді-джей,місто Сорокине,"сквер Архітектурна, буд. 70, Вашківці, 52285",943-00-08,rozaliia30@example.net
Андріїшин,Веніямин,Олександрович,Чоловіча,02-07-2005,Золотар,хутір Вугледар,"вулиця Лузанівський, буд. 3 кв. 1, Зміїв, 86973",+380 82 359-61-61,ksaienko@example.org
Аврамчук,Віталій,Захарович,Чоловіча,21-11-1955,Кінокритик,місто Костопіль,"шосе Парашутний, буд. 83 кв. 172, Таврійськ, 05979",+380 (48) 991-29-56,artem48@example.com
Шморгун,Вікторія,Богданівна,Жіноча,12-08-1951,Геолог,хутір Новий Калинів,"вулиця Каховський, буд. 86, Бурштин, 14393",171 93 78,ielysavetasheremeta@example.net
Жайворон,Ілля,Олексійович,Чоловіча,03-01-1985,Лікар,село Рожище,"сквер Південно-Санаторний, буд. 3, Кам'янка (Черкаська область), 41672",+380 (47) 005-78-61,tymchukbohdan@example.net
Карпа,Леонід,Ілліч,Чоловіча,12-11-1979,Агроном,місто Рудки,"площа Олександрійський, буд. 4, Охтирка, 20186",+380 24 765-97-73,onufriienkooleksandr@example.com
Вовк,Олекса,Ілліч,Чоловіча,17-05-1962,Співак,село Марганець,"вулиця Азовський, буд. 43, Хрестівка, 22575",+380 51 320 14 82,ostelmakh@example.com
Остапчук,Алла,Федорівна,Жіноча,05-12-1970,Правник,селище Авдіївка,"площа Академіка Сахарова, буд. 8, Федорівка, 10406",115-58-74,liashkoherman@example.org
Вишняк,Юстим,Аркадійович,Чоловіча,20-08-1997,Мікробіолог,місто Пирятин,"площа Альпіністів, буд. 68, Городище, 82091",070 522 63 86,qshvachka@example.net
Андрійович,Павло,Федорович,Чоловіча,24-10-1977,Парфюмер,селище Переяслав,"провулок Транспортна, буд. 594 кв. 072, Українка, 86783",054 922-61-93,anton88@example.org
